,X,Y,fine cluster,coarse cluster
0,2.5643448655784566,3.4334897707012555,1,1
1,2.7299755964138446,4.372993789062916,1,1
2,2.5338109122825627,3.9080267009941263,1,1
3,1.7825818249153023,4.158514884353067,1,1
4,2.873418234542009,3.888616629328686,1,1
5,2.1031629964399694,3.3783331522628752,1,1
6,1.3900147461385943,4.306412379601124,1,1
7,1.4192027767434077,3.889246028110999,1,1
8,2.6833842305946876,4.022885974814367,1,1
9,2.857234274843103,4.183930577835236,1,1
10,2.5882941639193975,4.346859334848986,1,1
11,1.8334004280506697,4.917196020544021,1,1
12,2.0802505877447572,4.228238773438039,1,1
13,1.1195232037504694,4.2781288457084425,1,1
14,1.9298432266819723,4.629587926636305,1,1
15,2.3250574275653944,3.788087076899303,1,1
16,2.7175898258117037,3.7492950904536104,1,1
17,1.9484700721952803,4.0131289069725105,1,1
18,2.2022390554466638,4.454952241532485,1,1
19,1.6007318280804084,4.181067416619781,1,1
20,2.2109020314074943,4.421779154650487,1,1
21,2.5819251837754402,3.5897924823182215,1,1
22,2.0600977378977983,4.462420789972762,1,1
23,2.684836490417088,3.404539669915608,1,1
24,1.7618226320851087,3.6591717167979017,1,1
25,2.068969804929225,4.473241391020956,1,1
26,1.2223372911660841,4.622562797129547,1,1
27,2.427562073768333,4.074009600595913,1,1
28,1.5468313967268914,4.604153641080072,1,1
29,1.6758063267418783,4.310754231080403,1,1
30,2.0320325281734095,4.196270207546326,1,1
31,1.7955194358469073,3.8891555391424784,1,1
32,1.9061229647326687,3.830225976748246,1,1
33,1.4588553692061037,4.537947612964882,1,1
34,1.8377553739292865,4.291178157776459,1,1
35,2.1080626550847574,3.800467084666028,1,1
36,2.232832298727158,4.155393263632474,1,1
37,2.8305646695753452,4.113218040485093,1,1
38,2.7771465190771507,4.090351179837805,1,1
39,1.813402525624638,4.743258569193185,1,1
40,1.5808219336267197,4.0049604570646276,1,1
41,1.166442733925546,3.6206411087369568,1,1
42,2.121806085659276,4.653640257416181,1,1
43,1.9108450523134712,4.9008716459076425,1,1
44,1.7939375883306135,4.0421554422298565,1,1
45,2.183104069424567,4.923992992801104,1,1
46,2.5331719827995953,3.414866961911787,1,1
47,1.439463081612869,4.140773180908689,1,1
48,1.9382779341595313,4.238426791689888,1,1
49,2.0747724498913094,4.338304764517569,1,1
50,2.4153112542083957,4.583387533647503,1,1
51,2.759462636718623,4.412690175970949,1,1
52,2.410770953029634,3.9395266581216504,1,1
53,2.29556329255539,4.2315039502488645,1,1
54,2.278034079624528,4.690031686141647,1,1
55,1.8210053802166026,3.3668836049531636,1,1
56,2.474627167886939,3.515436985503308,1,1
57,2.375884435796943,4.748048476287842,1,1
58,2.5488828975747975,3.752484984680387,1,1
59,1.7748725244079628,4.379691879974133,1,1
60,1.8843052458420706,3.85337989880781,1,1
